ISIN,SEDOL,Security Name,Currency,Number of Shares,Percent of Fund,Trade Country Name,Local Price,Sector Classification,Industry Classification,Base Market Value,bb_ticker,bb_exch,sec_type,figi_name
CNE100000HF9,B57JY24,China Minsheng Banking Corp. Ltd. Class H,HKD,4599600.0,0.009396,China,3.43,Financials,Banks,2010670.9,1988,HK,,
TW0002603008,6324500,Evergreen Marine Corp. (Taiwan) Ltd.,TWD,264980.0,0.009376,Taiwan,240.5,Industrials,Marine Transportation,2006381.4,2603,TT,Common Stock,EVERGREEN MARINE CORP LTD
GRS830003000,BTJZ707,Alpha Bank S.A.,EUR,370123.0,0.00937,Greece,4.726,Financials,Banks,2004934.5,ALPHA,GA,Common Stock,ALPHA BANK SA
US2787681061,B2NC471,EchoStar Corporation Class A,USD,21400.0,0.009347,United States,93.46,Communication Services,Media,2000044.0,ECHO,US,Common Stock,ECHOSTAR CORP-A
CNE1000009Q7,B2Q5H56,China Pacific Insurance (Group) Co. Ltd. Class H,HKD,550000.0,0.009329,China,28.48,Financials,Insurance,1996316.9,2601,HK,,
US9426222009,2943039,Watsco Inc.,USD,6389.0,0.009309,United States,311.77,Industrials,Trading Companies & Distributors,1991898.5,WSO,US,Common Stock,WATSCO INC
INE047A01021,BYQKH33,Grasim Industries Ltd.,INR,59852.0,0.00925,India,3171.0,Materials,Construction Materials,1979460.6,GRASIM,IN,Common Stock,GRASIM INDUSTRIES LTD
JP3820000002,6356365,Fuji Electric Co. Ltd.,JPY,23800.0,0.009238,Japan,13075.0,Industrials,Electrical Equipment,1976719.0,6504,JP,Common Stock,FUJI ELECTRIC CO LTD
JP3573000001,6895448,TOKYO GAS Co. Ltd.,JPY,49300.0,0.009233,Japan,6309.0,Utilities,Gas Utilities,1975757.9,9531,JP,Common Stock,TOKYO GAS CO LTD
INE848E01016,B233LP1,NHPC Limited,INR,2466483.0,0.009197,India,76.5,Utilities,Independent Power And Renewable Electricity Producers,1967938.5,NHPC,IN,Common Stock,NHPC LTD
AU000000VCX7,BY7QXS7,Vicinity Centres,AUD,1188548.0,0.009161,Australia,2.32,Real Estate,Retail Reits,1960257.9,VCX,AU,REIT,VICINITY CENTRES
GB00B082RF11,B082RF1,Rentokil Initial plc,GBP,459417.0,0.00916,United Kingdom,3.193,Industrials,Commercial Services & Supplies,1960023.1,RTO,LN,Common Stock,RENTOKIL INITIAL PLC
HK0291001490,6972459,China Resources Beer (Holdings) Co. Ltd.,HKD,843500.0,0.009153,China,18.22,Consumer Staples,Beverages,1958665.4,291,HK,,
BRRDORACNOR8,BNDQ8P6,Rede D'Or Sao Luiz SA,BRL,271423.0,0.009149,Brazil,37.23,Health Care,Health Care Providers & Services,1957703.6,RDOR3,BZ,Common Stock,REDE D'OR SAO LUIZ SA
NO0005052605,B11HK39,Norsk Hydro ASA,NOK,214340.0,0.009133,Norway,86.04,Materials,Metals & Mining,1954327.3,NHY,NO,Common Stock,NORSK HYDRO ASA
JP3756100008,6644800,Nitori Holdings Co. Ltd.,JPY,101400.0,0.009121,Japan,3030.0,Consumer Discretionary,Specialty Retail,1951672.1,9843,JP,Common Stock,NITORI HOLDINGS CO LTD
US5178341070,B02T2J7,Las Vegas Sands Corp.,USD,48685.0,0.009096,United States,39.98,Consumer Discretionary,Hotels Restaurants & Leisure,1946426.3,LVS,US,Common Stock,LAS VEGAS SANDS CORP
FI0009007132,5579550,Fortum Oyj,EUR,69148.0,0.009089,Finland,24.54,Utilities,Electric Utilities,1944977.6,FORTUM,FH,Common Stock,FORTUM OYJ
INE522F01014,B4Z9XF5,Coal India Ltd.,INR,452470.0,0.009083,India,411.85,Energy,Oil Gas & Consumable Fuels,1943573.0,COAL,IN,Common Stock,COAL INDIA LTD
US35969L1089,BMD2L36,Full Truck Alliance Co. Ltd. Sponsored ADR,USD,237891.0,0.009038,China,8.13,Industrials,Ground Transportation,1934053.9,YMM,US,,
MXP554091415,2448200,Industrias Penoles SAB de CV,MXN,37024.0,0.009017,Mexico,898.47,Materials,Metals & Mining,1929521.6,PE&OLES*,MM,Common Stock,INDUSTRIAS PENOLES SAB DE CV
CH0008038389,B083BH4,Swiss Prime Site AG,CHF,12635.0,0.009014,Switzerland,125.8,Real Estate,Real Estate Management & Development,1928867.1,SPSN,SW,Common Stock,SWISS PRIME SITE-REG
TH0481010R10,B013L15,Central Pattana Public Co. Ltd. NVDR,THB,998100.0,0.008992,Thailand,64.25,Real Estate,Real Estate Management & Development,1924174.6,CPN-R,TB,NVDR,CENTRAL PATTANA PCL-NVDR
ZAE000070660,B0L6750,Sanlam Limited,ZAR,380706.0,0.008965,South Africa,82.16,Financials,Insurance,1918356.6,SLM,SJ,Common Stock,SANLAM LTD
JP3814800003,6356406,Subaru Corporation,JPY,114700.0,0.008963,Japan,2632.5,Consumer Discretionary,Automobiles,1918041.9,7270,JP,Common Stock,SUBARU CORP
US31620R3030,BNBRDD4,Fidelity National Financial Inc. - FNF Group,USD,45003.0,0.008938,United States,42.5,Financials,Insurance,1912627.5,FNF,US,Common Stock,FIDELITY NATIONAL FINANCIAL
INE752E01010,B233HS6,Power Grid Corporation of India Limited,INR,679161.0,0.008938,India,270.0,Utilities,Electric Utilities,1912531.0,PWGR,IN,Common Stock,POWER GRID CORP OF INDIA LTD
FR0000120503,4002121,Bouygues SA,EUR,38434.0,0.008931,France,43.38,Industrials,Construction & Engineering,1911021.5,EN,FP,Common Stock,BOUYGUES SA
TW0003045001,6290496,Taiwan Mobile Co. Ltd.,TWD,489000.0,0.008921,Taiwan,124.0,Communication Services,Wireless Telecommunication Services,1909043.8,3045,TT,Common Stock,TAIWAN MOBILE CO LTD
DE000A1DAHH0,B4YVF56,Brenntag SE,EUR,27716.0,0.008899,Germany,59.94,Industrials,Trading Companies & Distributors,1904178.8,BNR,GY,Common Stock,BRENNTAG SE
CNE100004900,BMXTWL2,Zhongtai Securities Co Ltd Class A,CNY,2333300.0,0.008873,China,5.45,Financials,Capital Markets,1898776.3,600918,CH,Common Stock,ZHONGTAI SECURITIES CO LTD-A
SE0000113250,7142091,Skanska AB Class B,SEK,69039.0,0.008824,Sweden,269.9,Industrials,Construction & Engineering,1888259.4,SKAB,SS,Common Stock,SKANSKA AB-B SHS
INE814H01029,BV2DVP5,Adani Power Limited,INR,864832.0,0.00881,India,209.0,Utilities,Independent Power And Renewable Electricity Producers,1885167.8,ADANI,IN,Common Stock,ADANI POWER LTD
CNE100004272,BMGWW30,Nongfu Spring Co. Ltd. Class H,HKD,383200.0,0.00881,China,38.6,Consumer Staples,Beverages,1885122.5,9633,HK,,
KYG211501005,B44ZV94,China Hongqiao Group Ltd.,HKD,658500.0,0.008675,China,22.12,Materials,Metals & Mining,1856383.5,1378,HK,,
KYG6470A1168,BN4MKV3,New Oriental Education & Technology Group Inc.,HKD,335100.0,0.00863,China,43.24,Consumer Discretionary,Diversified Consumer Services,1846659.9,9901,HK,,
INE455K01017,BHKDY38,Polycab India Ltd.,INR,21152.0,0.008619,India,8360.0,Industrials,Electrical Equipment,1844292.0,POLYCAB,IN,Common Stock,POLYCAB INDIA LTD
CNE100001TR7,BWGCFG4,Fuyao Glass Industry Group Co. Ltd. Class H,HKD,262400.0,0.008611,China,55.1,Consumer Discretionary,Automobile Components,1842647.4,3606,HK,,
JP3027670003,6396800,Nippon Building Fund Inc.,JPY,2381.0,0.008609,Japan,121800.0,Real Estate,Office Reits,1842183.8,8951,JP,REIT,NIPPON BUILDING FUND INC
ZAE000259701,BL0L913,Sibanye Stillwater Limited,ZAR,645873.0,0.008599,South Africa,46.45,Materials,Metals & Mining,1839975.5,SSW,SJ,Common Stock,SIBANYE STILLWATER LTD
NL00150001Q9,BMD8KX7,Stellantis N.V.,EUR,381418.0,0.008588,Italy,4.204,Consumer Discretionary,Automobiles,1837691.8,STLAM,IM,Common Stock,STELLANTIS NV
KYG9593A1040,BF0GWS4,Wharf Real Estate Investment Company Limited,HKD,472000.0,0.008568,Hong Kong,30.48,Real Estate,Real Estate Management & Development,1833512.0,1997,HK,Common Stock,WHARF REAL ESTATE INVESTMENT
KYG5074A1004,BMW8R04,JD Health International Inc.,HKD,395500.0,0.008546,China,36.28,Consumer Staples,Consumer Staples Distribution & Retail,1828692.0,6618,HK,,
SE0005190238,B97C733,Tele2 AB Class B,SEK,106820.0,0.008524,Sweden,168.5,Communication Services,Wireless Telecommunication Services,1823966.0,TEL2B,SS,Common Stock,TELE2 AB-B SHS
TW0002449006,6352493,King Yuan Electronics Co. Ltd.,TWD,198200.0,0.0085,Taiwan,291.5,Information Technology,Semiconductors & Semiconductor Equipment,1818978.4,2449,TT,Common Stock,KING YUAN ELECTRONICS CO LTD
FI0009014377,B17NY40,Orion Oyj Class B,EUR,19470.0,0.0085,Finland,81.5,Health Care,Pharmaceuticals,1818796.0,ORNBV,FH,Common Stock,ORION OYJ-CLASS B
IT0005211237,BD2Z8S7,Italgas SpA,EUR,187640.0,0.008493,Italy,8.45,Utilities,Gas Utilities,1817366.6,IG,IM,Common Stock,ITALGAS SPA
JP3223800008,6484686,Kawasaki Kisen Kaisha Ltd.,JPY,81700.0,0.008481,Japan,3497.0,Industrials,Marine Transportation,1814863.4,9107,JP,Common Stock,KAWASAKI KISEN KAISHA LTD
MYL1155OO000,6556325,Malayan Banking Bhd.,MYR,716172.0,0.008462,Malaysia,10.32,Financials,Banks,1810828.1,MAY,MK,Common Stock,MALAYAN BANKING BHD
US65249B1098,BBGVT40,News Corporation Class A,USD,60691.0,0.008446,United States,29.78,Communication Services,Media,1807378.0,NWSA,US,Common Stock,NEWS CORP - CLASS A
US7588491032,2726177,Regency Centers Corporation,USD,24751.0,0.008438,United States,72.95,Real Estate,Retail Reits,1805585.5,REG,US,REIT,REGENCY CENTERS CORP
INE1TAE01010,BSNRFT7,Tata Motors Limited,INR,391750.0,0.008434,India,441.7,Industrials,Machinery,1804713.9,TMCV,IN,Common Stock,TATA MOTORS LTD /NEW
SG1U76934819,B1VT035,Yangzijiang Shipbuilding (Holdings) Ltd.,SGD,445600.0,0.008422,Singapore,5.17,Industrials,Machinery,1802270.4,YZJSGD,SP,Common Stock,YANGZIJIANG SHIPBUILDING
INE154A01025,B0JGGP5,ITC Limited,INR,658667.0,0.008418,India,262.2,Consumer Staples,Tobacco,1801235.9,ITC,IN,Common Stock,ITC LTD
INE437A01024,6273583,Apollo Hospitals Enterprise Limited,INR,19636.0,0.008394,India,8770.25,Health Care,Health Care Providers & Services,1796126.8,APHS,IN,Common Stock,APOLLO HOSPITALS ENTERPRISE
DK0060252690,B44XTX8,Pandora A/S,DKK,14874.0,0.008388,Denmark,787.0,Consumer Discretionary,Textiles Apparel & Luxury Goods,1794823.3,PNDORA,DC,Common Stock,PANDORA A/S
JP3218900003,6173694,Capcom Co. Ltd.,JPY,64300.0,0.008374,Japan,4387.0,Communication Services,Entertainment,1791863.4,9697,JP,Common Stock,CAPCOM CO LTD
GB00B2QPKJ12,B2QPKJ1,Fresnillo PLC,GBP,44179.0,0.008372,United Kingdom,30.35,Materials,Metals & Mining,1791553.4,FRES,LN,Common Stock,FRESNILLO PLC
JP3639650005,6269861,Pan Pacific International Holdings Corporation,JPY,392800.0,0.008314,Japan,713.0,Consumer Discretionary,Broadline Retail,1779046.4,7532,JP,Common Stock,PAN PACIFIC INTERNATIONAL HO
INE213A01029,6139362,Oil & Natural Gas Corp. Ltd.,INR,732452.0,0.0083,India,232.5,Energy,Oil Gas & Consumable Fuels,1776127.3,ONGC,IN,Common Stock,OIL & NATURAL GAS CORP LTD
CLP0939W1081,2100845,Banco de Chile,CLP,8563513.0,0.008248,Chile,197.9,Financials,Banks,1764872.9,CHILE,CI,Common Stock,BANCO DE CHILE
INE775A01035,6743990,Samvardhana Motherson International Limited,INR,1025973.0,0.008221,India,164.4,Consumer Discretionary,Automobile Components,1759177.6,MOTHERSO,IN,Common Stock,SAMVARDHANA MOTHERSON INTERN
AU000000REA9,6198578,REA Group Ltd,AUD,15821.0,0.008215,Australia,156.3,Communication Services,Interactive Media & Services,1757929.4,REA,AU,Common Stock,REA GROUP LTD
KYG4402L1510,6136233,Hengan International Group Co. Ltd.,HKD,700000.0,0.008213,China,19.7,Consumer Staples,Personal Care Products,1757482.8,1044,HK,,
JP3160400002,6307200,Eisai Co. Ltd.,JPY,56100.0,0.00821,Japan,4930.0,Health Care,Pharmaceuticals,1756855.5,4523,JP,Common Stock,EISAI CO LTD
JP3621000003,6897143,Toray Industries Inc.,JPY,221100.0,0.008191,Japan,1248.0,Materials,Chemicals,1752788.9,3402,JP,Common Stock,TORAY INDUSTRIES INC
INE021A01026,BCRWL65,Asian Paints Ltd.,INR,69779.0,0.00818,India,2405.0,Materials,Chemicals,1750297.1,APNT,IN,Common Stock,ASIAN PAINTS LTD
BMG0112X1056,BPH0Y27,Aegon Ltd.,EUR,193072.0,0.00817,Netherlands,7.9,Financials,Insurance,1748263.1,AGN,,Common Stock,AEGON LTD
IT0004965148,BGLP232,Moncler SpA,EUR,35214.0,0.008158,Italy,43.25,Consumer Discretionary,Textiles Apparel & Luxury Goods,1745669.0,MONC,IM,Common Stock,MONCLER SPA
SA0007879121,B1324D0,Saudi Basic Industries Corp.,SAR,136130.0,0.008129,Saudi Arabia,48.0,Materials,Chemicals,1739541.5,SABIC,AB,Common Stock,SAUDI BASIC INDUSTRIES CORP
JP3783420007,6416322,Hikari Tsushin Inc.,JPY,7100.0,0.008123,Japan,38540.0,Industrials,Industrial Conglomerates,1738186.3,9435,JP,Common Stock,HIKARI TSUSHIN INC
CA4932711001,B3SGMV5,Keyera Corp.,CAD,44156.0,0.008096,Canada,54.96,Energy,Oil Gas & Consumable Fuels,1732448.4,KEY,CN,Common Stock,KEYERA CORP
US35137L1052,BJJMGL2,Fox Corporation Class A,USD,26805.0,0.008073,United States,64.45,Communication Services,Media,1727582.3,FOXA,US,Common Stock,FOX CORP - CLASS A
INE040H01021,B0DX8R8,Suzlon Energy Ltd,INR,3825384.0,0.008073,India,43.3,Industrials,Electrical Equipment,1727567.0,SUEL,IN,Common Stock,SUZLON ENERGY LTD
US21871X1090,BMTX0G9,Corebridge Financial Inc.,USD,49446.0,0.008044,United States,34.81,Financials,Financial Services,1721215.3,CRBG,US,Common Stock,COREBRIDGE FINANCIAL INC
INE118H01025,BD3DWQ6,BSE Ltd.,INR,50514.0,0.008042,India,3266.4,Financials,Capital Markets,1720889.8,BSE,IN,Common Stock,BSE LTD
GB00B0744B38,B0744B3,Bunzl plc,GBP,49195.0,0.00803,United Kingdom,26.14,Industrials,Trading Companies & Distributors,1718231.8,BNZL,LN,Common Stock,BUNZL PLC
DE0006048408,5002465,Henkel AG & Co. KGaA,EUR,22244.0,0.008019,Germany,67.3,Consumer Staples,Household Products,1715885.9,HEN,GY,Common Stock,HENKEL AG & CO KGAA
CNE000001G87,BP3R2M8,China Yangtze Power Co. Ltd. Class A,CNY,406400.0,0.008017,China,28.27,Utilities,Independent Power And Renewable Electricity Producers,1715482.3,600900,CH,Common Stock,CHINA YANGTZE POWER CO LTD-A
SE0000108227,B1Q3J35,SKF AB Class B,SEK,63030.0,0.008017,Sweden,268.6,Industrials,Machinery,1715606.3,SKFB,SS,Common Stock,SKF AB-B SHARES
IL0007200111,6767677,Enlight Renewable Energy Ltd,ILS,22745.0,0.008015,Israel,229.0,Utilities,Independent Power And Renewable Electricity Producers,1715190.6,ENLT,IT,Common Stock,ENLIGHT RENEWABLE ENERGY LTD
INE027H01010,BMB2291,Max Healthcare Institute Ltd,INR,155789.0,0.008011,India,1055.0,Health Care,Health Care Providers & Services,1714198.9,MAXHEALT,IN,Common Stock,MAX HEALTHCARE INSTITUTE LTD
INE685A01028,B0XPSB8,Torrent Pharmaceuticals Ltd,INR,34150.0,0.007997,India,4804.25,Health Care,Pharmaceuticals,1711150.8,TRP,IN,Common Stock,TORRENT PHARMACEUTICALS LTD
JP3420600003,6793906,Sekisui House Ltd.,JPY,80300.0,0.007986,Japan,3350.0,Consumer Discretionary,Household Durables,1708781.9,1928,JP,Common Stock,SEKISUI HOUSE LTD
CA4488112083,BYYXJY9,Hydro One Limited,CAD,46111.0,0.007984,Canada,51.9,Utilities,Electric Utilities,1708424.5,H,CN,Common Stock,HYDRO ONE LTD
CA87262K1057,B8KH5G7,TMX Group Ltd.,CAD,44251.0,0.007964,Canada,53.95,Financials,Capital Markets,1704270.0,X,CN,Common Stock,TMX GROUP LTD
CNE100001CY9,BFFJRM7,Zhongji Innolight Co. Ltd. Class A,CNY,12320.0,0.007964,China,926.43,Information Technology,Communications Equipment,1704237.3,300308,CH,Common Stock,ZHONGJI INNOLIGHT CO LTD-A
CNE1000004L9,6743956,Weichai Power Co. Ltd. Class H,HKD,421000.0,0.007948,China,31.7,Industrials,Machinery,1700858.5,2338,HK,,
GB00BYW0PQ60,BYW0PQ6,Land Securities Group PLC,GBP,203275.0,0.007939,United Kingdom,6.255,Real Estate,Diversified Reits,1698894.8,LAND,LN,REIT,LAND SECURITIES GROUP PLC
CA9611485090,2956662,George Weston Limited,CAD,23909.0,0.007924,Canada,99.34,Consumer Staples,Consumer Staples Distribution & Retail,1695545.5,WN,CN,Common Stock,WESTON (GEORGE) LTD
CA46579R1047,BD73C40,Ivanhoe Mines Ltd. Class A,CAD,197885.0,0.007922,Canada,12.0,Materials,Metals & Mining,1695188.6,IVN,CN,Common Stock,IVANHOE MINES LTD-CL A
CNE100001MK7,B8RZJZ1,People's Insurance Co. (Group) of China Ltd. Class H,HKD,2295000.0,0.0079,China,5.78,Financials,Insurance,1690586.1,1339,HK,,
PTBCP0AM0015,BZCNN35,Banco Comercial Portugues S.A.,EUR,1252224.0,0.007888,Portugal,1.176,Financials,Banks,1687911.9,BCP,PL,Common Stock,BANCO COMERCIAL PORTUGUES-R
DE0005200000,5107401,Beiersdorf AG,EUR,19813.0,0.007885,Germany,74.3,Consumer Staples,Personal Care Products,1687328.0,BEI,GY,Common Stock,BEIERSDORF AG
AU000000SIG5,BF13K02,Sigma Healthcare Ltd,AUD,924069.0,0.007828,Australia,2.55,Health Care,Health Care Providers & Services,1675147.6,SIG,AU,Common Stock,SIGMA HEALTHCARE LTD
BMG4587L1090,6434915,Hongkong Land Holdings Limited,USD,193500.0,0.007813,Hong Kong,8.64,Real Estate,Real Estate Management & Development,1671840.0,HKHGF,US,,
SE0000190126,B1VSK10,Industrivarden AB Class A,SEK,30519.0,0.007797,Sweden,539.5,Financials,Financial Services,1668499.3,INDUA,SS,Common Stock,INDUSTRIVARDEN AB-A SHS
CNE1000001W2,6080396,Anhui Conch Cement Company Limited Class H,HKD,819500.0,0.00779,China,15.96,Materials,Construction Materials,1666896.6,914,HK,,
INE075A01022,6206051,Wipro Limited,INR,959832.0,0.007766,India,166.0,Information Technology,It Services,1661786.8,WPRO,IN,Common Stock,WIPRO LTD
DE000TLX1005,B8F0TD6,Talanx AG,EUR,11910.0,0.007738,Germany,121.3,Financials,Insurance,1655895.8,TLX,GY,Common Stock,TALANX AG
AU000000APA1,6247306,APA Group,AUD,212628.0,0.007721,Australia,10.93,Utilities,Gas Utilities,1652148.8,APA,AU,Stapled Security,APA GROUP
GB00BGXQNP29,BGXQNP2,Standard Life plc,GBP,132630.0,0.007714,United Kingdom,9.315,Financials,Insurance,1650744.3,SDLF,LN,Common Stock,STANDARD LIFE PLC
NZXROE0001S2,B8P4LP4,Xero Limited,AUD,36765.0,0.007668,Australia,62.78,Information Technology,Software,1640833.0,XRO,AU,Common Stock,XERO LTD
BRGGBRACNPR8,2645517,Gerdau S.A. Pfd,BRL,332486.0,0.007628,Brazil,25.34,Materials,Metals & Mining,1632252.1,GGBR4,BZ,Preference,GERDAU SA-PREF
INE200M01039,BQB80M6,Varun Beverages Ltd.,INR,370294.0,0.007613,India,421.8,Consumer Staples,Beverages,1629015.5,VBL,IN,Common Stock,VARUN BEVERAGES LTD
INE192R01011,BYW1G33,Avenue Supermarts Ltd.,INR,41765.0,0.007609,India,3738.0,Consumer Staples,Consumer Staples Distribution & Retail,1628260.0,DMART,IN,Common Stock,AVENUE SUPERMARTS LTD
US9100471096,B4QG225,United Airlines Holdings Inc.,USD,14944.0,0.007592,United States,108.71,Industrials,Airlines,1624562.3,UAL,US,Common Stock,UNITED AIRLINES HOLDINGS INC
ES0118594417,4476210,Indra Sistemas S.A. Class A,EUR,22930.0,0.00759,Spain,61.8,Information Technology,It Services,1624250.3,IDR,SM,Common Stock,INDRA SISTEMAS SA
FR0000120172,5641567,Carrefour SA,EUR,86202.0,0.007589,France,16.435,Consumer Staples,Consumer Staples Distribution & Retail,1623855.8,CA,FP,Common Stock,CARREFOUR SA
INE176B01034,BQGZWP9,Havells India Limited,INR,141560.0,0.007562,India,1096.0,Industrials,Electrical Equipment,1618166.0,HAVL,IN,Common Stock,HAVELLS INDIA LTD
